contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,moneyness,days_to_expiration,T,bs_price,pricing_error,abs_error
AAPL250314P00222500,2025-03-10 19:58:20+00:00,222.5,2.55,2.45,2.51,2.08,442.55316,14991,3452,0.43555252,FALSE,REGULAR,USD,put,3/14/2025,0.9778500483431485,4,0.010958904109589041,2.0219540234253515,0.5280459765746484,0.5280459765746484
AAPL250314P00225000,2025-03-10 19:59:56+00:00,225,3.35,3.25,3.4,2.71,423.4376,26562,8338,0.4292049267578125,FALSE,REGULAR,USD,put,3/14/2025,0.9888371275380153,4,0.010958904109589041,2.866184932802213,0.4838150671977872,0.4838150671977872
AAPL250314P00227500,2025-03-10 19:59:55+00:00,227.5,4.35,4.35,4.4,3.4899998,405.81384,12396,7898,0.4133359448242187,TRUE,REGULAR,USD,put,3/14/2025,0.9998242067328822,4,0.010958904109589041,3.8506143829424815,0.49938561705751816,0.49938561705751816
AAPL250314P00230000,2025-03-10 19:59:39+00:00,230,5.75,5.5,5.7,4.5299997,371.31137,24259,13100,0.40479110839843746,TRUE,REGULAR,USD,put,3/14/2025,1.010811285927749,4,0.010958904109589041,5.152251831566076,0.5977481684339239,0.5977481684339239
AAPL250314P00232500,2025-03-10 19:59:14+00:00,232.5,7.12,7,7.2,5.42,318.82358,19810,4888,0.39331661376953125,TRUE,REGULAR,USD,put,3/14/2025,1.021798365122616,4,0.010958904109589041,6.683810563155674,0.43618943684432576,0.43618943684432576
AAPL250314P00235000,2025-03-10 19:59:55+00:00,235,8.85,8.75,8.95,6.5000005,276.5958,8747,9426,0.3845276391601562,TRUE,REGULAR,USD,put,3/14/2025,1.0327854443174826,4,0.010958904109589041,8.484225132020953,0.3657748679790469,0.3657748679790469
AAPL250314P00237500,2025-03-10 19:42:58+00:00,237.5,11.16,10.6,11.1,8.01,254.28575,2828,7030,0.40405869384765625,TRUE,REGULAR,USD,put,3/14/2025,1.0437725235123496,4,0.010958904109589041,10.660005295112342,0.4999947048876585,0.4999947048876585
AAPL250314P00240000,2025-03-10 19:59:39+00:00,240,13.2,12.8,13.2,8.9,206.97672,4914,21267,0.39893179199218753,TRUE,REGULAR,USD,put,3/14/2025,1.0547596027072164,4,0.010958904109589041,12.820131204190488,0.37986879580951083,0.37986879580951083
AAPL250314P00242500,2025-03-10 18:50:56+00:00,242.5,17.1,14.25,15.45,11.6,210.90909,387,2190,0.39893179199218753,TRUE,REGULAR,USD,put,3/14/2025,1.065746681902083,4,0.010958904109589041,15.119466571434003,1.9805334285659981,1.9805334285659981
AAPL250314P00245000,2025-03-10 19:44:01+00:00,245,17.5,17.4,17.85,10.440001,147.87537,992,1606,0.4194393994140625,TRUE,REGULAR,USD,put,3/14/2025,1.076733761,4,0.010958904109589041,17.541781179409895,-0.041781179,0.041781179
AAPL250314P00247500,2025-03-10 17:45:39+00:00,247.5,20.17,20.2,20.55,11.22,125.36313,64,757,0.5161181201171875,TRUE,REGULAR,USD,put,3/14/2025,1.0877208402918168,4,0.010958904109589041,20.174992964076864,-0.004992964,0.004992964
AAPL250314P00250000,2025-03-10 19:50:17+00:00,250,22.21,22.75,23,11.209999,101.90908,232,634,0.5131884619140624,TRUE,REGULAR,USD,put,3/14/2025,1.0987079194866838,4,0.010958904109589041,22.547468175009755,-0.337468175,0.3374681750097537
AAPL250314P00252500,2025-03-10 14:43:33+00:00,252.5,26.8,24.8,25.25,13.4,100,54,103,0.508793975,TRUE,REGULAR,USD,put,3/14/2025,1.1096949986815505,4,0.010958904109589041,24.96092828743113,1.8390717125688703,1.8390717125688703
AAPL250314P00255000,2025-03-10 16:32:22+00:00,255,29.02,26.25,27.75,14.52,100.13793,15,111,0.5478560839843751,TRUE,REGULAR,USD,put,3/14/2025,1.1206820778764173,4,0.010958904109589041,27.458593145446372,1.5614068545536277,1.5614068545536277
AAPL250314P00257500,2025-03-10 15:08:03+00:00,257.5,31.65,28.75,30.25,10.6,50.356297,2,1,0.584965088,TRUE,REGULAR,USD,put,3/14/2025,1.1316691570712842,4,0.010958904109589041,29.954880620287156,1.6951193797128425,1.6951193797128425
AAPL250314P00260000,2025-03-10 18:38:40+00:00,260,34.95,31.3,32.75,13.950001,66.42857,28,14,0.622074092,TRUE,REGULAR,USD,put,3/14/2025,1.142656236266151,4,0.010958904109589041,32.45240141230454,2.497598587695464,2.497598587695464
AAPL250314P00262500,2025-03-10 14:20:40+00:00,262.5,33.37,33.6,35.25,11.719999,54.133945,1,4,0.65722999,TRUE,REGULAR,USD,put,3/14/2025,1.153643315461018,4,0.010958904109589041,34.948555592664945,-1.578555593,1.578555592664948
AAPL250314P00265000,2025-03-10 14:06:02+00:00,265,35.93,36.1,37.75,10.280001,40.077976,1,2,0.693362441,TRUE,REGULAR,USD,put,3/14/2025,1.1646303946558847,4,0.010958904109589041,37.446832500873796,-1.516832501,1.5168325008737966
AAPL250314P00267500,2025-03-10 14:02:26+00:00,267.5,39,38.6,41.2,10.450001,36.60246,4,1,1.0192920129394532,TRUE,REGULAR,USD,put,3/14/2025,1.1756174738507517,4,0.010958904109589041,40.578394033368426,-1.578394033,1.5783940333684257
AAPL250314P00270000,2025-03-06 20:51:20+00:00,270,43.67,41.3,42.75,8.169998,23.01408,1,0,0.7617211328125001,TRUE,REGULAR,USD,put,3/14/2025,1.1866045530456184,4,0.010958904109589041,42.44134735612869,1.228652643871314,1.228652643871314
AAPL250314P00275000,2025-02-24 19:35:51+00:00,275,26.8,46.1,47.75,0,0,1,0,0.8281267187499999,TRUE,REGULAR,USD,put,3/14/2025,1.2085787114353521,4,0.010958904109589041,47.43660585867917,-20.63660586,20.63660585867917
AAPL250314P00280000,2025-03-10 14:45:40+00:00,280,52.04,51.25,53.7,11.59,28.652657,3,0,1.2231484155273438,TRUE,REGULAR,USD,put,3/14/2025,1.2305528698250858,4,0.010958904109589041,53.043311230147566,-1.00331123,1.0033112301475668
AAPL250314P00290000,2025-03-04 20:50:00+00:00,290,63.15,61.25,63.05,9.450001,17.597767,4,0,1.1679729101562502,TRUE,REGULAR,USD,put,3/14/2025,1.274501186604553,4,0.010958904109589041,62.59804231507039,0.5519576849296115,0.5519576849296115
AAPL250314P00325000,2025-03-04 16:29:54+00:00,325,86.5,96.3,98.85,0,0,,0,1.1757853710937498,TRUE,REGULAR,USD,put,3/14/2025,1.4283202953326888,4,0.010958904109589041,97.31834745376489,-10.81834745,10.818347453764886
